time,acc_true
0.0,0.04967141530112327
0.005,-0.014222120817883816
0.01,0.06362937227624964
0.015,0.1482402979597537
0.02,-0.03247859625393755
0.025,-0.03686867563814003
0.03,0.139524621449827
0.035,0.05095426119429559
0.04,-0.0805867049959832
0.045,0.013578785611177126
0.05,-0.09277803331122267
0.055,-0.09655531030273744
0.06,-0.027421183250815096
0.065,-0.24216778736576675
0.07,-0.21692811709895288
0.075,-0.08991022573403212
0.08,-0.1215184000414762
0.085,0.026518989705160718
0.09,-0.08008129493283195
0.095,-0.1127425699377299
0.1,0.19305747999522074
0.105,0.03869313385867304
0.11,0.08116518895982301
0.115,-0.055655303581872845
0.12,0.044853927307153374
0.125,0.12133017637922212
0.13,0.004102726257210643
0.135,0.16424952869738213
0.14,0.07086220142335968
0.145,0.1038569639348364
0.15,0.07265472422072837
0.155,0.31423161449419457
0.16,0.11776722690678462
0.165,0.0011746652458411166
0.17,0.17548068532914823
0.17500000000000002,-0.04508439814312663
0.18,0.08138254581521454
0.185,-0.15193976557751943
0.19,-0.10260172491830313
0.195,0.037737719137298495
0.2,0.07878157005325652
0.20500000000000002,0.007573547841209195
0.21,-0.03557577203434402
0.215,-0.06743415315181439
0.22,-0.19552206683938414
0.225,-0.12628288107825048
0.23,-0.10385841705781886
0.23500000000000001,0.04575682462276034
0.24,-0.028188527739134293
0.245,-0.2391074935043051
0.25,-0.026216963146159962
0.255,-0.09156625055253544
0.26,-0.11287885077019874
0.265,0.025578306060817374
0.27,0.07621417188958392
0.275,0.07299298427337045
0.28,-0.09796989507336445
0.28500000000000003,-0.03717517792081737
0.29,0.03513878634118233
0.295,0.10652173883122722
0.3,-0.03346853290196111
0.305,0.001692772455441638
0.31,-0.08390568759559647
0.315,-0.0844621421117925
0.32,0.12532074681975847
0.325,0.18518459963213002
0.33,0.044464033924885314
0.335,0.15207591386544206
0.34,0.08481731644520152
0.34500000000000003,-0.02026193917588265
0.35000000000000003,0.07564344791904486
0.355,0.18591727574406383
0.36,0.018150302228191785
0.365,0.16600846858929166
0.37,-0.26479314438202195
0.375,0.07041907750621029
0.38,-0.012342721227617443
0.385,-0.05976924915022787
0.39,-0.028354941775036644
0.395,-0.24168785375401236
0.4,-0.06581292978606457
0.405,-0.007643391123580666
0.41000000000000003,0.10428340046886506
0.41500000000000004,-0.09658685118202345
0.42,-0.1244653516863109
0.425,-0.0898632939081292
0.43,0.05688738204698033
0.435,0.0023173113044506755
0.44,-0.07893464823028955
0.445,0.03084831935996073
0.45,-0.00558621382768682
0.455,0.08598425443662779
0.46,-0.07742617778758554
0.465,-0.03513629266475065
0.47000000000000003,-0.03576429366343206
0.47500000000000003,-0.1353902851218338
0.48,0.049952709808843934
0.485,0.054765260964237505
0.49,0.03623981319779071
0.495,0.018526303015046774
0.5,-0.09249165539738988
0.505,0.015567218107915129
0.51,0.03239102680606313
0.515,-0.005206725530305725
0.52,0.06656398562207647
0.525,0.12914242336193646
0.53,0.2793202486513558
0.535,0.10526442592884663
0.54,0.1073523418991584
0.545,0.06561169566584901
0.55,-0.12765085602607557
0.555,0.05431454726188279
0.56,0.0545534446811705
0.5650000000000001,0.28330952744179577
0.5700000000000001,0.0017085445409484035
0.5750000000000001,0.03404435746762035
0.58,-0.016894345130725304
0.585,-0.14623969061168413
0.59,0.07096606582884865
0.595,0.016957371905570978
0.6,0.005503712217592507
0.605,-0.17875336729984467
0.61,0.04074592176311187
0.615,-0.2504400664304253
0.62,-0.05793776917164563
