time,disp_true,vel_true,acc_true,disp_noisy
0.0,0.0,0.0,0.014803615558213266,2.144748185421282e-07
0.005,3.066757579092432e-07,7.401807779106634e-05,0.021252576686924728,1.8807791779848166e-06
0.01,8.839399667987978e-07,0.00021252576686924728,0.06781252915640702,1.8312849890904792e-06
0.015,3.158704564956847e-06,0.0007521433693551366,0.08044798637268373,-4.1245157411947734e-07
0.02,7.888109287995987e-06,0.0010170056305960845,0.010861156360292983,7.374634145256255e-06
0.025,1.2536797718343582e-05,0.0008607549329580664,0.01077923196023346,1.436981284232259e-05
0.03,1.720757653487221e-05,0.0011247979501984192,0.07237373607688506,1.837884214276391e-05
0.035,2.4112496321039703e-05,0.001584492293726917,0.04037886327763254,2.1925925680191415e-05
0.04,3.213744600260504e-05,0.0015285865829747446,-0.01920125068385803,3.329309106292421e-05
0.045,3.944167917775758e-05,0.0013924797868883367,-0.045544572949310615,4.200406830832757e-05
0.05,4.568340698272961e-05,0.0010731408534816384,-0.07995106001612227,4.296095596028476e-05
0.055,4.988770156172257e-05,0.0005929691867271139,-0.07909530721201415,4.441278550118532e-05
0.06,5.194007854804914e-05,0.000282187781361497,-0.10136947192115658,5.690181916552309e-05
0.065,5.204713391666385e-05,-0.000420725532484452,-0.18483798165742954,5.292578599101133e-05
0.07,4.70175570555815e-05,-0.0015661920352127985,-0.18855814141270708,4.573263053836765e-05
0.075,3.706294812592135e-05,-0.002306306946611523,-0.13100587904668798,3.568531019281718e-05
0.08,2.416478961500843e-05,-0.002876250825679678,-0.07962599321635942,2.4582113817520847e-05
0.085,8.92086827598403e-06,-0.003102566878775117,-0.035866058918698936,1.182911114574661e-05
0.09,-6.743941068368397e-06,-0.0032349114148666675,-0.06151045122412971,-1.0971211871578096e-05
0.095,-2.4130690122675357e-05,-0.003717671391016414,-0.02586014553642075,-2.525853439907679e-05
0.1,-4.2658777033740855e-05,-0.003493512870230875,0.08173880972346496,-3.802803513381581e-05
0.105,-5.838750783702791e-05,-0.0029002832937817646,0.0912816561269012,-5.6076916017284136e-05
0.11,-7.210964793788792e-05,-0.002580696308961863,0.03683131629645128,-7.003427728548726e-05
0.115,-8.474275577388654e-05,-0.0025319701308172517,0.008011745366369059,-8.359568504253567e-05
0.12,-9.742019617771956e-05,-0.0025005788552981724,0.044775211916122305,-9.654666446988726e-05
0.125,-0.0001090406539483972,-0.0020842180116560287,0.07179016480642558,-0.00011035554317140736
0.13,-0.00011850718731881902,-0.0017826772072339165,0.07346929592527375,-0.00012007290225766224
0.135,-0.00012663513002895396,-0.0013495250524032912,0.10324699176945144,-0.00012437889669146958
0.14,-0.00013170065065333183,-0.0007502072895394022,0.10435695082718728,-0.0001332053603776264
0.145,-0.00013439430644617974,-0.0003059555441314185,0.08884941953193688,-0.0001336013138887811
0.15,-0.00013475632506598003,0.00013828690577996665,0.14172163454533884,-0.00013432722865923136
0.155,-0.0001321230742913769,0.00111126080132197,0.2057564693624443,-0.00012599570686201792
0.16,-0.00012348654812177764,0.0021958515994044098,0.13770097942192003,-0.00012393344899142055
0.165,-0.00011152687252441459,0.00248827059554117,0.07659923316348191,-0.00010826028917488041
0.17,-9.822902016423433e-05,0.002961843931039229,0.08062345452601698,-9.624969933652123e-05
0.17500000000000002,-8.221197204625739e-05,0.00329450514080134,0.04383139094152025,-8.25398090127898e-05
0.18,-6.56246674533754e-05,0.0034001578404544313,-0.004737882251306096,-6.911038575945962e-05
0.185,-4.874329722868451e-05,0.003247126318288279,-0.07594396337960918,-4.8883760564640455e-05
0.19,-3.397836729416827e-05,0.0026407182066583395,-0.07740163232610175,-3.146180607383373e-05
0.195,-2.143895172212731e-05,0.0024731099950272614,0.011017511691003646,-2.4862580887922094e-05
0.2,-8.502657467448124e-06,0.002750893323568376,0.048808676801594945,-6.170275548827381e-06
0.20500000000000002,5.919315954040529e-06,0.002961196763043211,0.013960738088332524,9.667864897360549e-06
0.21,2.0647872656324546e-05,0.0028905007044517012,-0.03516465403482368,2.091954383933989e-05
0.215,3.449431677890857e-05,0.002609550222694974,-0.09934487371880667,3.7054649418893845e-05
0.22,4.588427271523624e-05,0.0018970519672636345,-0.14503895835207525,4.6277066616205354e-05
0.225,5.3539953448998556e-05,0.0011591606391742214,-0.1300610713863626,5.513652642829173e-05
